Znaleziono 2894 plików .py

Plik                                                            LOC   SLOC   Comm  Blank
/tmp/django/django/contrib/admin/checks.py                     1384   1163    106    115
/tmp/django/django/contrib/admin/decorators.py                  111     48     40     23
/tmp/django/django/contrib/admin/exceptions.py                   25      9      4     12
/tmp/django/django/contrib/admin/filters.py                     716    585     49     82
/tmp/django/django/contrib/admin/forms.py                        31     22      3      6
/tmp/django/django/contrib/admin/helpers.py                     565    482     17     66
.../django/django/contrib/admin/migrations/0001_initial.py       75     72      0      3
...ntrib/admin/migrations/0002_logentry_remove_auto_add.py       21     17      1      3
...min/migrations/0003_logentry_add_action_flag_choices.py       19     15      1      3
/tmp/django/django/contrib/admin/models.py                      199    163     11     25
/tmp/django/django/contrib/admin/options.py                    2607   1888    440    279
/tmp/django/django/contrib/admin/sites.py                       621    387    137     97
...ango/django/contrib/admin/templatetags/admin_filters.py       12      9      0      3
.../django/django/contrib/admin/templatetags/admin_list.py      555    440     55     60
...jango/django/contrib/admin/templatetags/admin_modify.py      152    124     11     17
.../django/django/contrib/admin/templatetags/admin_urls.py       70     52      0     18
/tmp/django/django/contrib/admin/templatetags/base.py            56     45      6      5
/tmp/django/django/contrib/admin/templatetags/log.py             67     43     12     12
/tmp/django/django/contrib/admin/tests.py                       257    151     68     38
/tmp/django/django/contrib/admin/utils.py                       627    446    100     81
/tmp/django/django/contrib/admin/views/autocomplete.py          123     79     26     18
/tmp/django/django/contrib/admin/views/decorators.py             19     13      4      2
/tmp/django/django/contrib/admin/views/main.py                  558    438     81     39
/tmp/django/django/contrib/admin/widgets.py                     631    473     55    103
/tmp/django/django/contrib/admindocs/apps.py                      7      5      0      2
/tmp/django/django/contrib/admindocs/middleware.py               33     20      9      4
/tmp/django/django/contrib/admindocs/urls.py                     50     49      0      1
/tmp/django/django/contrib/admindocs/utils.py                   268    103    124     41
/tmp/django/django/contrib/admindocs/views.py                   523    423     50     50
/tmp/django/django/contrib/auth/__init__.py                     383    250     71     62
/tmp/django/django/contrib/auth/admin.py                        251    203     29     19
/tmp/django/django/contrib/auth/apps.py                          35     29      1      5
/tmp/django/django/contrib/auth/backends.py                     342    213     69     60
/tmp/django/django/contrib/auth/base_user.py                    164     99     32     33
/tmp/django/django/contrib/auth/checks.py                       261    226     15     20
/tmp/django/django/contrib/auth/context_processors.py            67     35     15     17
/tmp/django/django/contrib/auth/decorators.py                   136     82     27     27
/tmp/django/django/contrib/auth/forms.py                        599    433     71     95
/tmp/django/django/contrib/auth/handlers/modwsgi.py              66     34     19     13
/tmp/django/django/contrib/auth/hashers.py                      699    442    141    116
/tmp/django/django/contrib/auth/management/__init__.py          292    200     47     45
...ango/contrib/auth/management/commands/changepassword.py       82     68      1     13
...ngo/contrib/auth/management/commands/createsuperuser.py      317    275     21     21
/tmp/django/django/contrib/auth/middleware.py                   275    167     69     39
...p/django/django/contrib/auth/migrations/0001_initial.py      204    201      0      3
...uth/migrations/0002_alter_permission_name_max_length.py       15     12      0      3
...rib/auth/migrations/0003_alter_user_email_max_length.py       17     14      0      3
...ontrib/auth/migrations/0004_alter_user_username_opts.py       27     23      1      3
...trib/auth/migrations/0005_alter_user_last_login_null.py       17     14      0      3
...ntrib/auth/migrations/0006_require_contenttypes_0002.py       13      8      2      3
.../migrations/0007_alter_validators_add_error_messages.py       26     23      0      3
.../auth/migrations/0008_alter_user_username_max_length.py       26     23      0      3
...auth/migrations/0009_alter_user_last_name_max_length.py       17     14      0      3
...rib/auth/migrations/0010_alter_group_name_max_length.py       15     12      0      3
...ontrib/auth/migrations/0011_update_proxy_permissions.py       76     13     53     10
...uth/migrations/0012_alter_user_first_name_max_length.py       17     14      0      3
/tmp/django/django/contrib/auth/mixins.py                       136     81     32     23
/tmp/django/django/contrib/auth/models.py                       634    398    110    126
/tmp/django/django/contrib/auth/password_validation.py          280    170     58     52
/tmp/django/django/contrib/auth/signals.py                        5      4      0      1
/tmp/django/django/contrib/auth/templatetags/auth.py             25     22      0      3
/tmp/django/django/contrib/auth/tokens.py                       132     76     32     24
/tmp/django/django/contrib/auth/urls.py                          36     30      4      2
/tmp/django/django/contrib/auth/validators.py                    25     20      0      5
/tmp/django/django/contrib/auth/views.py                        379    279     38     62
/tmp/django/django/contrib/contenttypes/admin.py                143    117      8     18
/tmp/django/django/contrib/contenttypes/apps.py                  22     18      0      4
/tmp/django/django/contrib/contenttypes/checks.py                46     40      0      6
/tmp/django/django/contrib/contenttypes/fields.py               871    652     98    121
/tmp/django/django/contrib/contenttypes/forms.py                133    115      9      9
...ango/django/contrib/contenttypes/management/__init__.py      143    106     17     20
...ttypes/management/commands/remove_stale_contenttypes.py      107     97      1      9
.../django/contrib/contenttypes/migrations/0001_initial.py       45     42      0      3
...ontenttypes/migrations/0002_remove_content_type_name.py       42     37      0      5
/tmp/django/django/contrib/contenttypes/models.py               188    122     43     23
/tmp/django/django/contrib/contenttypes/prefetch.py              36     31      1      4
/tmp/django/django/contrib/contenttypes/views.py                 88     61     18      9
/tmp/django/django/contrib/flatpages/admin.py                    22     20      0      2
/tmp/django/django/contrib/flatpages/apps.py                      8      6      0      2
/tmp/django/django/contrib/flatpages/forms.py                    74     64      0     10
/tmp/django/django/contrib/flatpages/middleware.py               20     16      2      2
...ngo/django/contrib/flatpages/migrations/0001_initial.py       68     65      0      3
/tmp/django/django/contrib/flatpages/models.py                   49     42      1      6
/tmp/django/django/contrib/flatpages/sitemaps.py                 14     12      0      2
...ango/django/contrib/flatpages/templatetags/flatpages.py      101     58     26     17
/tmp/django/django/contrib/flatpages/urls.py                      6      5      0      1
/tmp/django/django/contrib/flatpages/views.py                    70     35     25     10
/tmp/django/django/contrib/gis/admin/__init__.py                 29     28      0      1
/tmp/django/django/contrib/gis/admin/options.py                  21     16      0      5
/tmp/django/django/contrib/gis/apps.py                           14     11      0      3
...p/django/django/contrib/gis/db/backends/base/adapter.py       26     17      4      5
.../django/django/contrib/gis/db/backends/base/features.py      109     62     24     23
/tmp/django/django/contrib/gis/db/backends/base/models.py       132     88     23     21
...jango/django/contrib/gis/db/backends/base/operations.py      215    161     28     26
/tmp/django/django/contrib/gis/db/backends/mysql/base.py         14     10      1      3
...django/django/contrib/gis/db/backends/mysql/features.py       22     17      2      3
...o/django/contrib/gis/db/backends/mysql/introspection.py       33     18     10      5
...ango/django/contrib/gis/db/backends/mysql/operations.py      152    134      0     18
...p/django/django/contrib/gis/db/backends/mysql/schema.py      102     89      0     13
...django/django/contrib/gis/db/backends/oracle/adapter.py       62     39     12     11
/tmp/django/django/contrib/gis/db/backends/oracle/base.py        14     10      1      3
...jango/django/contrib/gis/db/backends/oracle/features.py       28     25      0      3
.../django/contrib/gis/db/backends/oracle/introspection.py       48     33      9      6
.../django/django/contrib/gis/db/backends/oracle/models.py       67     34     19     14
...ngo/django/contrib/gis/db/backends/oracle/operations.py      255    177     38     40
.../django/django/contrib/gis/db/backends/oracle/schema.py      151    132      2     17
...jango/django/contrib/gis/db/backends/postgis/adapter.py       63     37     14     12
...p/django/django/contrib/gis/db/backends/postgis/base.py      161    125      5     31
.../django/django/contrib/gis/db/backends/postgis/const.py       63     32     25      6
...ango/django/contrib/gis/db/backends/postgis/features.py       13     11      0      2
...django/contrib/gis/db/backends/postgis/introspection.py       73     46     22      5
...django/django/contrib/gis/db/backends/postgis/models.py       73     41     19     13
...go/django/contrib/gis/db/backends/postgis/operations.py      432    295     78     59
...ango/django/contrib/gis/db/backends/postgis/pgraster.py      152     75     48     29
...django/django/contrib/gis/db/backends/postgis/schema.py      125    103      7     15
...go/django/contrib/gis/db/backends/spatialite/adapter.py       10      7      0      3
...jango/django/contrib/gis/db/backends/spatialite/base.py       79     63      9      7
...ngo/django/contrib/gis/db/backends/spatialite/client.py        5      3      0      2
...o/django/contrib/gis/db/backends/spatialite/features.py       26     22      0      4
...ngo/contrib/gis/db/backends/spatialite/introspection.py       83     62     12      9
...ngo/django/contrib/gis/db/backends/spatialite/models.py       71     41     17     13
...django/contrib/gis/db/backends/spatialite/operations.py      235    157     45     33
...ngo/django/contrib/gis/db/backends/spatialite/schema.py      195    161     15     19
/tmp/django/django/contrib/gis/db/backends/utils.py              29     15      8      6
/tmp/django/django/contrib/gis/db/models/__init__.py             30     29      0      1
/tmp/django/django/contrib/gis/db/models/aggregates.py           94     71      2     21
/tmp/django/django/contrib/gis/db/models/fields.py              436    265     95     76
/tmp/django/django/contrib/gis/db/models/functions.py           640    488     19    133
/tmp/django/django/contrib/gis/db/models/lookups.py             395    226     69    100
/tmp/django/django/contrib/gis/db/models/proxy.py                84     39     34     11
/tmp/django/django/contrib/gis/db/models/sql/__init__.py          6      5      0      1
...p/django/django/contrib/gis/db/models/sql/conversion.py       74     51      7     16
/tmp/django/django/contrib/gis/feeds.py                         151     95     34     22
/tmp/django/django/contrib/gis/forms/__init__.py                 13     12      0      1
/tmp/django/django/contrib/gis/forms/fields.py                  140     89     21     30
/tmp/django/django/contrib/gis/forms/widgets.py                 117     86     11     20
/tmp/django/django/contrib/gis/gdal/__init__.py                  59     30     19     10
/tmp/django/django/contrib/gis/gdal/base.py                       6      4      0      2
/tmp/django/django/contrib/gis/gdal/datasource.py               128     70     37     21
/tmp/django/django/contrib/gis/gdal/driver.py                   101     57     31     13
/tmp/django/django/contrib/gis/gdal/envelope.py                 205    137     45     23
/tmp/django/django/contrib/gis/gdal/error.py                     61     36     13     12
/tmp/django/django/contrib/gis/gdal/feature.py                  120     78     25     17
/tmp/django/django/contrib/gis/gdal/field.py                    253    172     31     50
/tmp/django/django/contrib/gis/gdal/geometries.py               877    574    158    145
/tmp/django/django/contrib/gis/gdal/geomtype.py                 146    123     11     12
/tmp/django/django/contrib/gis/gdal/layer.py                    234    150     58     26
/tmp/django/django/contrib/gis/gdal/libgdal.py                  142     93     17     32
/tmp/django/django/contrib/gis/gdal/prototypes/ds.py            110     88     11     11
...p/django/django/contrib/gis/gdal/prototypes/errcheck.py      142     72     42     28
...django/django/contrib/gis/gdal/prototypes/generation.py      178    106     36     36
/tmp/django/django/contrib/gis/gdal/prototypes/geom.py          165    131     13     21
/tmp/django/django/contrib/gis/gdal/prototypes/raster.py        169    146     14      9
/tmp/django/django/contrib/gis/gdal/prototypes/srs.py           107     71     19     17
/tmp/django/django/contrib/gis/gdal/raster/band.py              273    156     75     42
/tmp/django/django/contrib/gis/gdal/raster/base.py               77     44     26      7
/tmp/django/django/contrib/gis/gdal/raster/const.py             105     79     16     10
/tmp/django/django/contrib/gis/gdal/raster/source.py            543    345    129     69
/tmp/django/django/contrib/gis/gdal/srs.py                      368    209    107     52
/tmp/django/django/contrib/gis/geoip2.py                        230    138     52     40
/tmp/django/django/contrib/gis/geometry.py                       19     14      3      2
/tmp/django/django/contrib/gis/geos/__init__.py                  19     14      4      1
/tmp/django/django/contrib/gis/geos/base.py                       6      4      0      2
/tmp/django/django/contrib/gis/geos/collections.py              126     77     25     24
/tmp/django/django/contrib/gis/geos/coordseq.py                 272    202     21     49
/tmp/django/django/contrib/gis/geos/error.py                      4      3      0      1
/tmp/django/django/contrib/gis/geos/factory.py                   33     21      6      6
/tmp/django/django/contrib/gis/geos/geometry.py                 799    444    239    116
/tmp/django/django/contrib/gis/geos/io.py                        28     16      6      6
/tmp/django/django/contrib/gis/geos/libgeos.py                  178     97     36     45
/tmp/django/django/contrib/gis/geos/linestring.py               193    134     27     32
/tmp/django/django/contrib/gis/geos/mutable_list.py             315    201     53     61
/tmp/django/django/contrib/gis/geos/point.py                    163    115     18     30
/tmp/django/django/contrib/gis/geos/polygon.py                  189    121     38     30
/tmp/django/django/contrib/gis/geos/prepared.py                  51     29      8     14
...p/django/django/contrib/gis/geos/prototypes/__init__.py       71     65      5      1
...p/django/django/contrib/gis/geos/prototypes/coordseq.py      116     76     12     28
...p/django/django/contrib/gis/geos/prototypes/errcheck.py       98     55     24     19
/tmp/django/django/contrib/gis/geos/prototypes/geom.py           94     51     20     23
/tmp/django/django/contrib/gis/geos/prototypes/io.py            371    247     38     86
/tmp/django/django/contrib/gis/geos/prototypes/misc.py           35     16     10      9
...django/django/contrib/gis/geos/prototypes/predicates.py       52     34      7     11
...p/django/django/contrib/gis/geos/prototypes/prepared.py       26     18      2      6
...django/django/contrib/gis/geos/prototypes/threadsafe.py       77     37     17     23
...p/django/django/contrib/gis/geos/prototypes/topology.py       74     56      7     11
...ngo/django/contrib/gis/management/commands/inspectdb.py       18     13      2      3
...go/django/contrib/gis/management/commands/ogrinspect.py      164    131     17     16
/tmp/django/django/contrib/gis/measure.py                       375    282     50     43
/tmp/django/django/contrib/gis/ptr.py                            41     24     11      6
/tmp/django/django/contrib/gis/serializers/geojson.py            77     60      6     11
/tmp/django/django/contrib/gis/shortcuts.py                      40     27      5      8
/tmp/django/django/contrib/gis/sitemaps/__init__.py               4      2      1      1
/tmp/django/django/contrib/gis/sitemaps/kml.py                   78     52     15     11
/tmp/django/django/contrib/gis/sitemaps/views.py                 65     45     11      9
/tmp/django/django/contrib/gis/utils/__init__.py                 17     12      3      2
/tmp/django/django/contrib/gis/utils/layermapping.py            737    463    188     86
/tmp/django/django/contrib/gis/utils/ogrinfo.py                  53     37     10      6
/tmp/django/django/contrib/gis/utils/ogrinspect.py              269    139     86     44
/tmp/django/django/contrib/gis/utils/srs.py                      78     34     32     12
/tmp/django/django/contrib/gis/views.py                          22     17      1      4
/tmp/django/django/contrib/humanize/apps.py                       7      5      0      2
...django/django/contrib/humanize/templatetags/humanize.py      346    245     79     22
/tmp/django/django/contrib/messages/__init__.py                   3      3      0      0
/tmp/django/django/contrib/messages/api.py                      127     82     22     23
/tmp/django/django/contrib/messages/apps.py                      19     14      0      5
/tmp/django/django/contrib/messages/constants.py                 21     19      0      2
/tmp/django/django/contrib/messages/context_processors.py        13      7      4      2
/tmp/django/django/contrib/messages/middleware.py                26     12      9      5
/tmp/django/django/contrib/messages/storage/__init__.py          12      4      5      3
/tmp/django/django/contrib/messages/storage/base.py             183     89     59     35
/tmp/django/django/contrib/messages/storage/cookie.py           248    146     65     37
/tmp/django/django/contrib/messages/storage/fallback.py          56     31     18      7
/tmp/django/django/contrib/messages/storage/session.py           52     32     11      9
/tmp/django/django/contrib/messages/test.py                      11      7      1      3
/tmp/django/django/contrib/messages/utils.py                     12      7      3      2
/tmp/django/django/contrib/messages/views.py                     19     11      3      5
...p/django/django/contrib/postgres/aggregates/__init__.py        2      2      0      0
/tmp/django/django/contrib/postgres/aggregates/general.py        82     58      1     23
/tmp/django/django/contrib/postgres/aggregates/mixins.py         18     12      2      4
...django/django/contrib/postgres/aggregates/statistics.py       75     49      0     26
/tmp/django/django/contrib/postgres/apps.py                      89     71     12      6
/tmp/django/django/contrib/postgres/constraints.py              242    223      1     18
/tmp/django/django/contrib/postgres/expressions.py               14     10      0      4
/tmp/django/django/contrib/postgres/fields/__init__.py            5      5      0      0
/tmp/django/django/contrib/postgres/fields/array.py             383    313     12     58
/tmp/django/django/contrib/postgres/fields/citext.py             45     38      0      7
/tmp/django/django/contrib/postgres/fields/hstore.py            113     86      0     27
/tmp/django/django/contrib/postgres/fields/jsonb.py              14     11      0      3
/tmp/django/django/contrib/postgres/fields/ranges.py            388    283     17     88
/tmp/django/django/contrib/postgres/fields/utils.py               3      3      0      0
/tmp/django/django/contrib/postgres/forms/__init__.py             3      3      0      0
/tmp/django/django/contrib/postgres/forms/array.py              250    221      1     28
/tmp/django/django/contrib/postgres/forms/hstore.py              59     39     10     10
/tmp/django/django/contrib/postgres/forms/ranges.py             119     98      1     20
/tmp/django/django/contrib/postgres/functions.py                 11      7      0      4
/tmp/django/django/contrib/postgres/indexes.py                  244    195      4     45
/tmp/django/django/contrib/postgres/lookups.py                   78     51      0     27
/tmp/django/django/contrib/postgres/operations.py               352    257     18     77
/tmp/django/django/contrib/postgres/search.py                   526    408      9    109
/tmp/django/django/contrib/postgres/serializers.py               10      6      2      2
/tmp/django/django/contrib/postgres/signals.py                   81     51     14     16
/tmp/django/django/contrib/postgres/utils.py                     53     37     11      5
/tmp/django/django/contrib/postgres/validators.py                91     74      1     16
/tmp/django/django/contrib/redirects/admin.py                     9      7      0      2
/tmp/django/django/contrib/redirects/apps.py                      8      6      0      2
/tmp/django/django/contrib/redirects/middleware.py               50     40      3      7
...ngo/django/contrib/redirects/migrations/0001_initial.py       64     61      0      3
...ts/migrations/0002_alter_redirect_new_path_help_text.py       23     20      0      3
/tmp/django/django/contrib/redirects/models.py                   35     31      0      4
/tmp/django/django/contrib/sessions/apps.py                       7      5      0      2
/tmp/django/django/contrib/sessions/backends/base.py            528    335     99     94
/tmp/django/django/contrib/sessions/backends/cache.py           145    116     10     19
/tmp/django/django/contrib/sessions/backends/cached_db.py       135     98     15     22
/tmp/django/django/contrib/sessions/backends/db.py              198    147     26     25
/tmp/django/django/contrib/sessions/backends/file.py            226    152     44     30
...ango/django/contrib/sessions/backends/signed_cookies.py      103     52     35     16
/tmp/django/django/contrib/sessions/base_session.py              48     30      7     11
/tmp/django/django/contrib/sessions/exceptions.py                19      7      3      9
...o/contrib/sessions/management/commands/clearsessions.py       21     17      0      4
/tmp/django/django/contrib/sessions/middleware.py                77     63      9      5
...ango/django/contrib/sessions/migrations/0001_initial.py       37     34      0      3
/tmp/django/django/contrib/sessions/models.py                    35     11     14     10
/tmp/django/django/contrib/sessions/serializers.py                3      2      0      1
/tmp/django/django/contrib/sitemaps/__init__.py                 202    150     19     33
/tmp/django/django/contrib/sitemaps/apps.py                       8      6      0      2
/tmp/django/django/contrib/sitemaps/views.py                    140    114     11     15
/tmp/django/django/contrib/sites/admin.py                         8      6      0      2
/tmp/django/django/contrib/sites/apps.py                         17     13      0      4
/tmp/django/django/contrib/sites/checks.py                       14     11      0      3
/tmp/django/django/contrib/sites/management.py                   47     31     10      6
/tmp/django/django/contrib/sites/managers.py                     65     53      1     11
/tmp/django/django/contrib/sites/middleware.py                   12      5      3      4
.../django/django/contrib/sites/migrations/0001_initial.py       43     40      0      3
...go/contrib/sites/migrations/0002_alter_domain_unique.py       21     18      0      3
/tmp/django/django/contrib/sites/models.py                      120     81     16     23
/tmp/django/django/contrib/sites/requests.py                     20      9      6      5
/tmp/django/django/contrib/sites/shortcuts.py                    18      8      6      4
/tmp/django/django/contrib/staticfiles/apps.py                   14     11      0      3
/tmp/django/django/contrib/staticfiles/checks.py                 29     22      2      5
/tmp/django/django/contrib/staticfiles/finders.py               315    213     65     37
/tmp/django/django/contrib/staticfiles/handlers.py              115     63     29     23
...ontrib/staticfiles/management/commands/collectstatic.py      403    317     55     31
...o/contrib/staticfiles/management/commands/findstatic.py       48     43      0      5
...go/contrib/staticfiles/management/commands/runserver.py       36     28      4      4
/tmp/django/django/contrib/staticfiles/storage.py               598    421    100     77
/tmp/django/django/contrib/staticfiles/testing.py                13      4      6      3
/tmp/django/django/contrib/staticfiles/urls.py                   19     10      4      5
/tmp/django/django/contrib/staticfiles/utils.py                  71     51     13      7
/tmp/django/django/contrib/staticfiles/views.py                  40     17     13     10
/tmp/django/django/contrib/syndication/apps.py                    7      5      0      2
/tmp/django/django/contrib/syndication/views.py                 235    180     27     28
/tmp/django/django/core/asgi.py                                  13      5      5      3
/tmp/django/django/core/cache/__init__.py                        67     38     13     16
/tmp/django/django/core/cache/backends/base.py                  434    244    115     75
/tmp/django/django/core/cache/backends/db.py                    295    242     16     37
/tmp/django/django/core/cache/backends/dummy.py                  34     24      0     10
/tmp/django/django/core/cache/backends/filebased.py             169    126     24     19
/tmp/django/django/core/cache/backends/locmem.py                118     98      2     18
/tmp/django/django/core/cache/backends/memcached.py             189    125     30     34
/tmp/django/django/core/cache/backends/redis.py                 247    186     14     47
/tmp/django/django/core/cache/utils.py                           12      9      0      3
/tmp/django/django/core/checks/__init__.py                       47     44      1      2
/tmp/django/django/core/checks/async_checks.py                   16     12      0      4
/tmp/django/django/core/checks/caches.py                         76     67      0      9
/tmp/django/django/core/checks/commands.py                       28     22      0      6
...p/django/django/core/checks/compatibility/django_4_0.py       19     17      0      2
/tmp/django/django/core/checks/database.py                       14     11      0      3
/tmp/django/django/core/checks/files.py                          19     15      0      4
/tmp/django/django/core/checks/messages.py                       82     59      4     19
/tmp/django/django/core/checks/model_checks.py                  227    178     27     22
/tmp/django/django/core/checks/registry.py                      127     85     22     20
/tmp/django/django/core/checks/security/base.py                 304    241      7     56
/tmp/django/django/core/checks/security/csrf.py                  65     54      0     11
/tmp/django/django/core/checks/security/sessions.py              98     78      0     20
/tmp/django/django/core/checks/templates.py                      12      8      1      3
/tmp/django/django/core/checks/translation.py                    66     49      4     13
/tmp/django/django/core/checks/urls.py                          158    116     16     26
/tmp/django/django/core/exceptions.py                           265    127     48     90
/tmp/django/django/core/files/__init__.py                         3      2      0      1
/tmp/django/django/core/files/base.py                           164    107     23     34
/tmp/django/django/core/files/images.py                          89     55     23     11
/tmp/django/django/core/files/locks.py                          128     79     23     26
/tmp/django/django/core/files/move.py                            92     53     26     13
/tmp/django/django/core/files/storage/__init__.py                27     21      0      6
/tmp/django/django/core/files/storage/base.py                   206     95     85     26
/tmp/django/django/core/files/storage/filesystem.py             224    164     29     31
/tmp/django/django/core/files/storage/handler.py                 46     37      2      7
/tmp/django/django/core/files/storage/memory.py                 293    210     30     53
/tmp/django/django/core/files/storage/mixins.py                  15     13      1      1
/tmp/django/django/core/files/temp.py                            79     37     24     18
